Likert_Q1,Likert_Q2,Likert_Q3,Likert_Q4,Likert_Q5,Likert_Q6,Likert_Q7,Open_Ended_Q1,Open_Ended_Q2,Open_Ended_Q3
4,5,3,5,5,2,3,I believe in the doctors but not the administration.,I have mixed feelings about the healthcare system.,I believe in the doctors but not the administration.
3,3,5,4,3,5,2,The healthcare system is generally trustworthy but has some flaws.,There should be more focus on preventive care.,The healthcare system is generally trustworthy but has some flaws.
4,2,4,5,1,4,2,The healthcare providers are overworked.,There should be more focus on preventive care.,I have mixed feelings about the healthcare system.
5,4,1,1,3,3,2,I have mixed feelings about the healthcare system.,The healthcare providers are overworked.,I believe in the doctors but not the administration.
4,4,3,4,4,1,3,I have mixed feelings about the healthcare system.,I am not happy with the current state of healthcare.,The healthcare system is generally trustworthy but has some flaws.
5,3,5,1,2,4,1,There needs to be more transparency in healthcare costs.,Insurance companies have too much control over healthcare decisions.,I trust my local clinic but not the larger hospitals.
4,2,2,1,2,5,2,I believe in the doctors but not the administration.,I am not happy with the current state of healthcare.,I believe in the doctors but not the administration.
4,4,4,4,5,3,1,There should be more focus on preventive care.,Insurance companies have too much control over healthcare decisions.,There should be more focus on preventive care.
4,2,4,2,2,4,5,I believe in the doctors but not the administration.,I trust my local clinic but not the larger hospitals.,I have mixed feelings about the healthcare system.
2,2,4,2,2,4,4,I am not happy with the current state of healthcare.,I have mixed feelings about the healthcare system.,The healthcare providers are overworked.
1,5,5,2,5,2,1,Insurance companies have too much control over healthcare decisions.,There needs to be more transparency in healthcare costs.,I am satisfied with the healthcare services I receive.
4,4,4,5,1,5,5,The healthcare system is generally trustworthy but has some flaws.,There should be more focus on preventive care.,I have mixed feelings about the healthcare system.
1,1,1,1,4,3,3,The healthcare system is generally trustworthy but has some flaws.,I am satisfied with the healthcare services I receive.,There should be more focus on preventive care.
1,3,3,1,3,5,2,I believe in the doctors but not the administration.,I believe in the doctors but not the administration.,There needs to be more transparency in healthcare costs.
2,1,4,1,4,2,1,I have mixed feelings about the healthcare system.,The healthcare system is generally trustworthy but has some flaws.,I am not happy with the current state of healthcare.
