Timestamp,Respondent_ID,OpenEndedQuestion1,OpenEndedQuestion2,LikertQuestion1,LikertQuestion2,LikertQuestion3
2023-01-01 00:00:00,1,Excellent value for money.,Great customer support.,1,5,2
2023-01-01 01:00:00,2,I love this product.,Needs better documentation.,5,4,5
2023-01-01 02:00:00,3,Excellent value for money.,I might not buy this again.,2,5,5
2023-01-01 03:00:00,4,I love this product.,I would recommend this to others.,4,1,3
2023-01-01 04:00:00,5,Excellent value for money.,I would recommend this to others.,5,3,5
2023-01-01 05:00:00,6,Excellent value for money.,Great customer support.,5,2,4
2023-01-01 06:00:00,7,I love this product.,Needs better documentation.,3,2,3
2023-01-01 07:00:00,8,Not satisfied with the service.,Needs better documentation.,2,4,3
2023-01-01 08:00:00,9,Not satisfied with the service.,Great customer support.,1,2,4
2023-01-01 09:00:00,10,Excellent value for money.,Needs better documentation.,2,1,3
2023-01-01 10:00:00,11,It could use some improvements.,Needs better documentation.,5,2,5
2023-01-01 11:00:00,12,It could use some improvements.,Great customer support.,2,4,4
2023-01-01 12:00:00,13,Excellent value for money.,I would recommend this to others.,3,3,2
2023-01-01 13:00:00,14,Excellent value for money.,I would recommend this to others.,5,4,1
2023-01-01 14:00:00,15,I love this product.,I might not buy this again.,2,4,3
2023-01-01 15:00:00,16,Excellent value for money.,I might not buy this again.,2,5,3
2023-01-01 16:00:00,17,Excellent value for money.,Great customer support.,3,3,4
2023-01-01 17:00:00,18,I love this product.,I would recommend this to others.,5,3,4
2023-01-01 18:00:00,19,I love this product.,Great customer support.,3,4,4
2023-01-01 19:00:00,20,I love this product.,I would recommend this to others.,1,5,5
2023-01-01 20:00:00,21,I love this product.,I would recommend this to others.,1,2,1
2023-01-01 21:00:00,22,I love this product.,Needs better documentation.,1,5,2
2023-01-01 22:00:00,23,I love this product.,Great customer support.,1,1,4
2023-01-01 23:00:00,24,Not satisfied with the service.,Needs better documentation.,5,2,3
2023-01-02 00:00:00,25,I love this product.,I might not buy this again.,2,4,5
2023-01-02 01:00:00,26,It could use some improvements.,Needs better documentation.,4,5,5
2023-01-02 02:00:00,27,I love this product.,Needs better documentation.,2,1,3
2023-01-02 03:00:00,28,It could use some improvements.,Great customer support.,1,5,2
2023-01-02 04:00:00,29,Not satisfied with the service.,Needs better documentation.,2,3,2
2023-01-02 05:00:00,30,Excellent value for money.,Needs better documentation.,5,3,2
2023-01-02 06:00:00,31,I love this product.,Great customer support.,3,4,1
2023-01-02 07:00:00,32,I love this product.,Great customer support.,5,5,4
2023-01-02 08:00:00,33,Excellent value for money.,I would recommend this to others.,4,2,1
2023-01-02 09:00:00,34,Excellent value for money.,Needs better documentation.,1,5,2
2023-01-02 10:00:00,35,Excellent value for money.,I might not buy this again.,1,3,4
2023-01-02 11:00:00,36,Not satisfied with the service.,I would recommend this to others.,4,4,3
2023-01-02 12:00:00,37,It could use some improvements.,Needs better documentation.,1,2,3
2023-01-02 13:00:00,38,I love this product.,I might not buy this again.,3,2,5
2023-01-02 14:00:00,39,It could use some improvements.,I might not buy this again.,4,1,4
2023-01-02 15:00:00,40,It could use some improvements.,I would recommend this to others.,1,1,2
2023-01-02 16:00:00,41,It could use some improvements.,I might not buy this again.,1,5,5
2023-01-02 17:00:00,42,Excellent value for money.,I might not buy this again.,4,5,4
2023-01-02 18:00:00,43,Excellent value for money.,Needs better documentation.,2,4,3
2023-01-02 19:00:00,44,It could use some improvements.,I would recommend this to others.,4,1,2
2023-01-02 20:00:00,45,It could use some improvements.,Needs better documentation.,4,2,3
2023-01-02 21:00:00,46,I love this product.,I might not buy this again.,5,3,5
2023-01-02 22:00:00,47,Not satisfied with the service.,Needs better documentation.,3,5,5
2023-01-02 23:00:00,48,Not satisfied with the service.,Needs better documentation.,4,1,1
2023-01-03 00:00:00,49,Not satisfied with the service.,I might not buy this again.,2,4,5
2023-01-03 01:00:00,50,It could use some improvements.,Needs better documentation.,5,3,1
2023-01-03 02:00:00,51,It could use some improvements.,Great customer support.,5,1,4
2023-01-03 03:00:00,52,I love this product.,Needs better documentation.,1,4,4
2023-01-03 04:00:00,53,I love this product.,Great customer support.,3,1,3
2023-01-03 05:00:00,54,I love this product.,Needs better documentation.,4,4,3
2023-01-03 06:00:00,55,Not satisfied with the service.,Needs better documentation.,2,3,3
2023-01-03 07:00:00,56,Excellent value for money.,Great customer support.,4,5,3
2023-01-03 08:00:00,57,It could use some improvements.,Needs better documentation.,3,1,4
2023-01-03 09:00:00,58,I love this product.,Great customer support.,5,2,4
2023-01-03 10:00:00,59,I love this product.,I would recommend this to others.,1,2,5
2023-01-03 11:00:00,60,Not satisfied with the service.,I would recommend this to others.,4,4,5
2023-01-03 12:00:00,61,Not satisfied with the service.,Needs better documentation.,1,4,4
2023-01-03 13:00:00,62,It could use some improvements.,I would recommend this to others.,1,4,5
2023-01-03 14:00:00,63,Excellent value for money.,I would recommend this to others.,2,5,4
2023-01-03 15:00:00,64,Not satisfied with the service.,I might not buy this again.,1,2,2
2023-01-03 16:00:00,65,Not satisfied with the service.,I would recommend this to others.,3,2,2
2023-01-03 17:00:00,66,Excellent value for money.,I would recommend this to others.,4,5,2
2023-01-03 18:00:00,67,I love this product.,I would recommend this to others.,1,4,4
2023-01-03 19:00:00,68,Not satisfied with the service.,Needs better documentation.,2,2,1
2023-01-03 20:00:00,69,It could use some improvements.,I might not buy this again.,1,2,5
2023-01-03 21:00:00,70,I love this product.,Great customer support.,4,2,5
2023-01-03 22:00:00,71,Not satisfied with the service.,Needs better documentation.,5,1,1
2023-01-03 23:00:00,72,I love this product.,I would recommend this to others.,2,1,5
2023-01-04 00:00:00,73,Excellent value for money.,Great customer support.,1,5,4
2023-01-04 01:00:00,74,Excellent value for money.,I might not buy this again.,1,5,5
2023-01-04 02:00:00,75,It could use some improvements.,I would recommend this to others.,4,5,1
2023-01-04 03:00:00,76,Not satisfied with the service.,Great customer support.,3,5,3
2023-01-04 04:00:00,77,Excellent value for money.,I would recommend this to others.,3,3,2
2023-01-04 05:00:00,78,I love this product.,Needs better documentation.,1,5,1
2023-01-04 06:00:00,79,Not satisfied with the service.,I might not buy this again.,2,2,1
2023-01-04 07:00:00,80,I love this product.,Great customer support.,3,2,4
2023-01-04 08:00:00,81,Not satisfied with the service.,I would recommend this to others.,2,1,5
2023-01-04 09:00:00,82,Excellent value for money.,I would recommend this to others.,3,3,2
2023-01-04 10:00:00,83,Excellent value for money.,I might not buy this again.,4,3,1
2023-01-04 11:00:00,84,Not satisfied with the service.,I might not buy this again.,1,1,2
2023-01-04 12:00:00,85,It could use some improvements.,I might not buy this again.,4,2,5
2023-01-04 13:00:00,86,It could use some improvements.,Great customer support.,2,1,5
2023-01-04 14:00:00,87,I love this product.,I would recommend this to others.,2,1,2
2023-01-04 15:00:00,88,Not satisfied with the service.,Great customer support.,1,3,4
2023-01-04 16:00:00,89,Excellent value for money.,I might not buy this again.,5,4,4
2023-01-04 17:00:00,90,I love this product.,I would recommend this to others.,2,5,3
2023-01-04 18:00:00,91,I love this product.,Great customer support.,3,2,5
2023-01-04 19:00:00,92,It could use some improvements.,Needs better documentation.,2,5,4
2023-01-04 20:00:00,93,I love this product.,I would recommend this to others.,3,1,1
2023-01-04 21:00:00,94,I love this product.,I might not buy this again.,2,2,1
2023-01-04 22:00:00,95,It could use some improvements.,Needs better documentation.,3,3,5
2023-01-04 23:00:00,96,Excellent value for money.,I would recommend this to others.,1,5,1
2023-01-05 00:00:00,97,Excellent value for money.,Great customer support.,1,3,2
2023-01-05 01:00:00,98,Not satisfied with the service.,I would recommend this to others.,1,1,4
2023-01-05 02:00:00,99,Not satisfied with the service.,Needs better documentation.,2,1,2
2023-01-05 03:00:00,100,Not satisfied with the service.,Needs better documentation.,4,1,4
